 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
1 2016-02-18T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
2 2016-02-19T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
3 2016-02-20T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
4 2016-02-21T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
5 2016-02-22T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
6 2016-02-23T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
7 2016-02-24T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
8 2016-02-25T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
9 2016-02-26T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
10 2016-02-27T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
11 2016-02-28T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
12 2016-02-29T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
13 2016-03-01T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
14 2016-03-02T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
15 2016-03-03T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
16 2016-03-04T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
17 2016-03-05T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
18 2016-03-06T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
19 2016-03-07T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
20 2016-03-08T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
21 2016-03-09T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
22 2016-03-10T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
23 2016-03-11T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
24 2016-03-12T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
25 2016-03-13T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
26 2016-03-14T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
27 2016-03-15T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
28 2016-03-16T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
29 2016-03-17T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
30 2016-03-18T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
31 2016-03-19T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
32 2016-03-20T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
33 2016-03-21T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
34 2016-03-22T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
35 2016-03-23T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
36 2016-03-24T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
37 2016-03-25T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
38 2016-03-26T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
39 2016-03-27T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
40 2016-03-28T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
41 2016-03-29T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
