 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 555.89 555.89 555.89 555.89
1 2016-02-18T00:00:00Z 555.89 555.89 555.89 555.89
2 2016-02-19T00:00:00Z 555.89 555.89 555.89 555.89
3 2016-02-20T00:00:00Z 555.89 555.89 555.89 555.89
4 2016-02-21T00:00:00Z 555.89 555.89 555.89 555.89
5 2016-02-22T00:00:00Z 555.89 555.89 555.89 555.89
6 2016-02-23T00:00:00Z 555.89 555.89 555.89 555.89
7 2016-02-24T00:00:00Z 555.89 555.89 555.89 555.89
8 2016-02-25T00:00:00Z 555.89 555.89 555.89 555.89
9 2016-02-26T00:00:00Z 555.89 555.89 555.89 555.89
10 2016-02-27T00:00:00Z 555.89 555.89 555.89 555.89
11 2016-02-28T00:00:00Z 555.89 555.89 555.89 555.89
12 2016-02-29T00:00:00Z 555.89 555.89 555.89 555.89
13 2016-03-01T00:00:00Z 555.89 555.89 555.89 555.89
14 2016-03-02T00:00:00Z 555.89 555.89 555.89 555.89
15 2016-03-03T00:00:00Z 555.89 555.89 555.89 555.89
16 2016-03-04T00:00:00Z 555.89 555.89 555.89 555.89
17 2016-03-05T00:00:00Z 555.89 555.89 555.89 555.89
18 2016-03-06T00:00:00Z 555.89 555.89 555.89 555.89
19 2016-03-07T00:00:00Z 555.89 555.89 555.89 555.89
20 2016-03-08T00:00:00Z 555.89 555.89 555.89 555.89
21 2016-03-09T00:00:00Z 555.89 555.89 555.89 555.89
22 2016-03-10T00:00:00Z 555.89 555.89 555.89 555.89
23 2016-03-11T00:00:00Z 555.89 555.89 555.89 555.89
24 2016-03-12T00:00:00Z 555.89 555.89 555.89 555.89
25 2016-03-13T00:00:00Z 555.89 555.89 555.89 555.89
26 2016-03-14T00:00:00Z 555.89 555.89 555.89 555.89
27 2016-03-15T00:00:00Z 555.89 555.89 555.89 555.89
28 2016-03-16T00:00:00Z 555.89 555.89 555.89 555.89
29 2016-03-17T00:00:00Z 555.89 555.89 555.89 555.89
30 2016-03-18T00:00:00Z 555.89 555.89 555.89 555.89
31 2016-03-19T00:00:00Z 555.89 555.89 555.89 555.89
32 2016-03-20T00:00:00Z 555.89 555.89 555.89 555.89
33 2016-03-21T00:00:00Z 555.89 555.89 555.89 555.89
34 2016-03-22T00:00:00Z 555.89 555.89 555.89 555.89
35 2016-03-23T00:00:00Z 555.89 555.89 555.89 555.89
36 2016-03-24T00:00:00Z 555.89 555.89 555.89 555.89
37 2016-03-25T00:00:00Z 555.89 555.89 555.89 555.89
38 2016-03-26T00:00:00Z 555.89 555.89 555.89 555.89
39 2016-03-27T00:00:00Z 555.89 555.89 555.89 555.89
40 2016-03-28T00:00:00Z 555.89 555.89 555.89 555.89
41 2016-03-29T00:00:00Z 555.89 555.89 555.89 555.89
42 2016-03-30T00:00:00Z 555.89 555.89 555.89 555.89
43 2016-03-31T00:00:00Z 555.89 555.89 555.89 555.89
44 2016-04-01T00:00:00Z 555.89 555.89 555.89 555.89
45 2016-04-02T00:00:00Z 555.89 555.89 555.89 555.89
46 2016-04-03T00:00:00Z 555.89 555.89 555.89 555.89
47 2016-04-04T00:00:00Z 555.89 555.89 555.89 555.89
48 2016-04-05T00:00:00Z 555.89 555.89 555.89 555.89
49 2016-04-06T00:00:00Z 555.89 555.89 555.89 555.89
