 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 417.14 417.14 417.14 417.14
1 2016-02-18T00:00:00Z 421.4 421.4 421.4 421.4
2 2016-02-19T00:00:00Z 419.98 419.98 419.98 419.98
3 2016-02-20T00:00:00Z 440.06 440.06 440.06 440.06
4 2016-02-21T00:00:00Z 437.87 437.87 437.87 437.87
5 2016-02-22T00:00:00Z 437.79 437.79 437.79 437.79
6 2016-02-23T00:00:00Z 419.9 419.9 419.9 419.9
7 2016-02-24T00:00:00Z 422.72 422.72 422.72 422.72
8 2016-02-25T00:00:00Z 423.48 423.48 423.48 423.48
9 2016-02-26T00:00:00Z 427.32 427.32 427.32 427.32
10 2016-02-27T00:00:00Z 431.3 431.3 431.3 431.3
11 2016-02-28T00:00:00Z 432.47 432.47 432.47 432.47
12 2016-02-29T00:00:00Z 436.21 436.21 436.21 436.21
13 2016-03-01T00:00:00Z 434.04 434.04 434.04 434.04
14 2016-03-02T00:00:00Z 425.36 425.36 425.36 425.36
15 2016-03-03T00:00:00Z 419.56 419.56 419.56 419.56
16 2016-03-04T00:00:00Z 409.48 409.48 409.48 409.48
17 2016-03-05T00:00:00Z 399.0 399.0 399.0 399.0
18 2016-03-06T00:00:00Z 405.96 405.96 405.96 405.96
19 2016-03-07T00:00:00Z 414.87 414.87 414.87 414.87
20 2016-03-08T00:00:00Z 411.9 411.9 411.9 411.9
21 2016-03-09T00:00:00Z 412.76 412.76 412.76 412.76
22 2016-03-10T00:00:00Z 415.83 415.83 415.83 415.83
23 2016-03-11T00:00:00Z 419.11 419.11 419.11 419.11
24 2016-03-12T00:00:00Z 410.36 410.36 410.36 410.36
25 2016-03-13T00:00:00Z 412.41 412.41 412.41 412.41
26 2016-03-14T00:00:00Z 414.31 414.31 414.31 414.31
27 2016-03-15T00:00:00Z 415.13 415.13 415.13 415.13
28 2016-03-16T00:00:00Z 415.91 415.91 415.91 415.91
29 2016-03-17T00:00:00Z 418.16 418.16 418.16 418.16
30 2016-03-18T00:00:00Z 408.16 408.16 408.16 408.16
31 2016-03-19T00:00:00Z 408.69 408.69 408.69 408.69
32 2016-03-20T00:00:00Z 411.53 411.53 411.53 411.53
33 2016-03-21T00:00:00Z 411.11 411.11 411.11 411.11
34 2016-03-22T00:00:00Z 416.21 416.21 416.21 416.21
35 2016-03-23T00:00:00Z 416.98 416.98 416.98 416.98
36 2016-03-24T00:00:00Z 414.74 414.74 414.74 414.74
37 2016-03-25T00:00:00Z 415.71 415.71 415.71 415.71
38 2016-03-26T00:00:00Z 416.51 416.51 416.51 416.51
39 2016-03-27T00:00:00Z 424.57 424.57 424.57 424.57
40 2016-03-28T00:00:00Z 422.21 422.21 422.21 422.21
41 2016-03-29T00:00:00Z 415.0 415.0 415.0 415.0
42 2016-03-30T00:00:00Z 412.44 412.44 412.44 412.44
43 2016-03-31T00:00:00Z 415.66 415.66 415.66 415.66
44 2016-04-01T00:00:00Z 415.64 415.64 415.64 415.64
45 2016-04-02T00:00:00Z 418.51 418.51 418.51 418.51
46 2016-04-03T00:00:00Z 419.06 419.06 419.06 419.06
47 2016-04-04T00:00:00Z 419.33 419.33 419.33 419.33
48 2016-04-05T00:00:00Z 422.07 422.07 422.07 422.07
49 2016-04-06T00:00:00Z 421.26 421.26 421.26 421.26
50 2016-04-07T00:00:00Z 420.14 420.14 420.14 420.14
51 2016-04-08T00:00:00Z 417.69 417.69 417.69 417.69
52 2016-04-09T00:00:00Z 418.05 418.05 418.05 418.05
53 2016-04-10T00:00:00Z 420.25 420.25 420.25 420.25
54 2016-04-11T00:00:00Z 421.43 421.43 421.43 421.43
55 2016-04-12T00:00:00Z 424.74 424.74 424.74 424.74
56 2016-04-13T00:00:00Z 423.47 423.47 423.47 423.47
57 2016-04-14T00:00:00Z 424.02 424.02 424.02 424.02
58 2016-04-15T00:00:00Z 428.67 428.67 428.67 428.67
59 2016-04-16T00:00:00Z 430.05 430.05 430.05 430.05
60 2016-04-17T00:00:00Z 426.26 426.26 426.26 426.26
61 2016-04-18T00:00:00Z 427.69 427.69 427.69 427.69
62 2016-04-19T00:00:00Z 434.92 434.92 434.92 434.92
63 2016-04-20T00:00:00Z 441.16 441.16 441.16 441.16
64 2016-04-21T00:00:00Z 449.34 449.34 449.34 449.34
65 2016-04-22T00:00:00Z 445.28 445.28 445.28 445.28
66 2016-04-23T00:00:00Z 450.08 450.08 450.08 450.08
67 2016-04-24T00:00:00Z 457.56 457.56 457.56 457.56
68 2016-04-25T00:00:00Z 461.73 461.73 461.73 461.73
69 2016-04-26T00:00:00Z 466.0 466.0 466.0 466.0
70 2016-04-27T00:00:00Z 447.01 447.01 447.01 447.01
71 2016-04-28T00:00:00Z 448.48 448.48 448.48 448.48
72 2016-04-29T00:00:00Z 454.98 454.98 454.98 454.98
73 2016-04-30T00:00:00Z 448.53 448.53 448.53 448.53
74 2016-05-01T00:00:00Z 452.24 452.24 452.24 452.24
75 2016-05-02T00:00:00Z 444.18 444.18 444.18 444.18
76 2016-05-03T00:00:00Z 450.27 450.27 450.27 450.27
77 2016-05-04T00:00:00Z 445.8 445.8 445.8 445.8
78 2016-05-05T00:00:00Z 448.08 448.08 448.08 448.08
79 2016-05-06T00:00:00Z 459.56 459.56 459.56 459.56
80 2016-05-07T00:00:00Z 458.46 458.46 458.46 458.46
81 2016-05-08T00:00:00Z 457.87 457.87 457.87 457.87
82 2016-05-09T00:00:00Z 460.98 460.98 460.98 460.98
83 2016-05-10T00:00:00Z 451.75 451.75 451.75 451.75
84 2016-05-11T00:00:00Z 451.98 451.98 451.98 451.98
85 2016-05-12T00:00:00Z 453.99 453.99 453.99 453.99
86 2016-05-13T00:00:00Z 457.46 457.46 457.46 457.46
87 2016-05-14T00:00:00Z 456.67 456.67 456.67 456.67
88 2016-05-15T00:00:00Z 457.99 457.99 457.99 457.99
89 2016-05-16T00:00:00Z 454.43 454.43 454.43 454.43
90 2016-05-17T00:00:00Z 454.69 454.69 454.69 454.69
91 2016-05-18T00:00:00Z 455.01 455.01 455.01 455.01
92 2016-05-19T00:00:00Z 443.01 443.01 443.01 443.01
93 2016-05-20T00:00:00Z 442.99 442.99 442.99 442.99
94 2016-05-21T00:00:00Z 443.41 443.41 443.41 443.41
95 2016-05-22T00:00:00Z 437.74 437.74 437.74 437.74
96 2016-05-23T00:00:00Z 443.86 443.86 443.86 443.86
97 2016-05-24T00:00:00Z 445.87 445.87 445.87 445.87
98 2016-05-25T00:00:00Z 449.9 449.9 449.9 449.9
99 2016-05-26T00:00:00Z 454.27 454.27 454.27 454.27
100 2016-05-27T00:00:00Z 476.99 476.99 476.99 476.99
101 2016-05-28T00:00:00Z 526.87 526.87 526.87 526.87
102 2016-05-29T00:00:00Z 519.29 519.29 519.29 519.29
103 2016-05-30T00:00:00Z 532.66 532.66 532.66 532.66
104 2016-05-31T00:00:00Z 530.62 530.62 530.62 530.62
105 2016-06-01T00:00:00Z 539.99 539.99 539.99 539.99
106 2016-06-02T00:00:00Z 539.78 539.78 539.78 539.78
107 2016-06-03T00:00:00Z 570.02 570.02 570.02 570.02
108 2016-06-04T00:00:00Z 573.51 573.51 573.51 573.51
109 2016-06-05T00:00:00Z 574.05 574.05 574.05 574.05
110 2016-06-06T00:00:00Z 584.44 584.44 584.44 584.44
111 2016-06-07T00:00:00Z 580.0 580.0 580.0 580.0
112 2016-06-08T00:00:00Z 581.99 581.99 581.99 581.99
113 2016-06-09T00:00:00Z 579.13 579.13 579.13 579.13
114 2016-06-10T00:00:00Z 578.99 578.99 578.99 578.99
115 2016-06-11T00:00:00Z 597.77 597.77 597.77 597.77
116 2016-06-12T00:00:00Z 663.09 663.09 663.09 663.09
117 2016-06-13T00:00:00Z 704.0 704.0 704.0 704.0
118 2016-06-14T00:00:00Z 685.37 685.37 685.37 685.37
119 2016-06-15T00:00:00Z 692.93 692.93 692.93 692.93
120 2016-06-16T00:00:00Z 764.76 764.76 764.76 764.76
121 2016-06-17T00:00:00Z 757.06 757.06 757.06 757.06
122 2016-06-18T00:00:00Z 755.14 755.14 755.14 755.14
123 2016-06-19T00:00:00Z 763.99 763.99 763.99 763.99
124 2016-06-20T00:00:00Z 741.84 741.84 741.84 741.84
125 2016-06-21T00:00:00Z 673.71 673.71 673.71 673.71
126 2016-06-22T00:00:00Z 600.16 600.16 600.16 600.16
127 2016-06-23T00:00:00Z 628.11 628.11 628.11 628.11
128 2016-06-24T00:00:00Z 662.66 662.66 662.66 662.66
129 2016-06-25T00:00:00Z 665.15 665.15 665.15 665.15
130 2016-06-26T00:00:00Z 631.14 631.14 631.14 631.14
131 2016-06-27T00:00:00Z 650.09 650.09 650.09 650.09
132 2016-06-28T00:00:00Z 648.78 648.78 648.78 648.78
133 2016-06-29T00:00:00Z 640.32 640.32 640.32 640.32
134 2016-06-30T00:00:00Z 673.43 673.43 673.43 673.43
135 2016-07-01T00:00:00Z 680.96 680.96 680.96 680.96
136 2016-07-02T00:00:00Z 699.99 699.99 699.99 699.99
137 2016-07-03T00:00:00Z 664.67 664.67 664.67 664.67
138 2016-07-04T00:00:00Z 679.45 679.45 679.45 679.45
139 2016-07-05T00:00:00Z 666.23 666.23 666.23 666.23
140 2016-07-06T00:00:00Z 674.99 674.99 674.99 674.99
141 2016-07-07T00:00:00Z 637.99 637.99 637.99 637.99
142 2016-07-08T00:00:00Z 661.99 661.99 661.99 661.99
143 2016-07-09T00:00:00Z 654.78 654.78 654.78 654.78
144 2016-07-10T00:00:00Z 649.99 649.99 649.99 649.99
145 2016-07-11T00:00:00Z 650.83 650.83 650.83 650.83
146 2016-07-12T00:00:00Z 673.99 673.99 673.99 673.99
147 2016-07-13T00:00:00Z 661.55 661.55 661.55 661.55
148 2016-07-14T00:00:00Z 658.98 658.98 658.98 658.98
149 2016-07-15T00:00:00Z 665.0 665.0 665.0 665.0
150 2016-07-16T00:00:00Z 663.84 663.84 663.84 663.84
151 2016-07-17T00:00:00Z 678.34 678.34 678.34 678.34
152 2016-07-18T00:00:00Z 672.74 672.74 672.74 672.74
153 2016-07-19T00:00:00Z 672.98 672.98 672.98 672.98
154 2016-07-20T00:00:00Z 664.86 664.86 664.86 664.86
155 2016-07-21T00:00:00Z 665.86 665.86 665.86 665.86
156 2016-07-22T00:00:00Z 649.03 649.03 649.03 649.03
157 2016-07-23T00:00:00Z 655.92 655.92 655.92 655.92
158 2016-07-24T00:00:00Z 663.95 663.95 663.95 663.95
159 2016-07-25T00:00:00Z 656.26 656.26 656.26 656.26
160 2016-07-26T00:00:00Z 655.16 655.16 655.16 655.16
161 2016-07-27T00:00:00Z 658.24 658.24 658.24 658.24
162 2016-07-28T00:00:00Z 657.32 657.32 657.32 657.32
163 2016-07-29T00:00:00Z 657.99 657.99 657.99 657.99
164 2016-07-30T00:00:00Z 655.01 655.01 655.01 655.01
165 2016-07-31T00:00:00Z 622.17 622.17 622.17 622.17
166 2016-08-01T00:00:00Z 606.78 606.78 606.78 606.78
167 2016-08-02T00:00:00Z 515.86 515.86 515.86 515.86
168 2016-08-03T00:00:00Z 572.38 572.38 572.38 572.38
169 2016-08-04T00:00:00Z 585.0 585.0 585.0 585.0
170 2016-08-05T00:00:00Z 575.51 575.51 575.51 575.51
171 2016-08-06T00:00:00Z 588.16 588.16 588.16 588.16
172 2016-08-07T00:00:00Z 593.65 593.65 593.65 593.65
173 2016-08-08T00:00:00Z 595.65 595.65 595.65 595.65
174 2016-08-09T00:00:00Z 585.76 585.76 585.76 585.76
175 2016-08-10T00:00:00Z 595.14 595.14 595.14 595.14
176 2016-08-11T00:00:00Z 587.57 587.57 587.57 587.57
177 2016-08-12T00:00:00Z 588.83 588.83 588.83 588.83
178 2016-08-13T00:00:00Z 586.99 586.99 586.99 586.99
179 2016-08-14T00:00:00Z 571.7 571.7 571.7 571.7
180 2016-08-15T00:00:00Z 569.33 569.33 569.33 569.33
181 2016-08-16T00:00:00Z 580.35 580.35 580.35 580.35
182 2016-08-17T00:00:00Z 574.99 574.99 574.99 574.99
183 2016-08-18T00:00:00Z 574.08 574.08 574.08 574.08
184 2016-08-19T00:00:00Z 573.7 573.7 573.7 573.7
185 2016-08-20T00:00:00Z 580.21 580.21 580.21 580.21
186 2016-08-21T00:00:00Z 579.85 579.85 579.85 579.85
187 2016-08-22T00:00:00Z 586.97 586.97 586.97 586.97
188 2016-08-23T00:00:00Z 581.98 581.98 581.98 581.98
189 2016-08-24T00:00:00Z 579.24 579.24 579.24 579.24
190 2016-08-25T00:00:00Z 575.97 575.97 575.97 575.97
191 2016-08-26T00:00:00Z 578.77 578.77 578.77 578.77
192 2016-08-27T00:00:00Z 569.82 569.82 569.82 569.82
193 2016-08-28T00:00:00Z 572.98 572.98 572.98 572.98
194 2016-08-29T00:00:00Z 573.36 573.36 573.36 573.36
195 2016-08-30T00:00:00Z 577.91 577.91 577.91 577.91
196 2016-08-31T00:00:00Z 574.22 574.22 574.22 574.22
197 2016-09-01T00:00:00Z 571.53 571.53 571.53 571.53
198 2016-09-02T00:00:00Z 574.85 574.85 574.85 574.85
199 2016-09-03T00:00:00Z 600.17 600.17 600.17 600.17
200 2016-09-04T00:00:00Z 607.67 607.67 607.67 607.67
201 2016-09-05T00:00:00Z 605.98 605.98 605.98 605.98
