 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 479.82 479.82 479.82 479.82
1 2016-02-18T00:00:00Z 479.82 479.82 479.82 479.82
2 2016-02-19T00:00:00Z 479.82 479.82 479.82 479.82
3 2016-02-20T00:00:00Z 479.82 479.82 479.82 479.82
4 2016-02-21T00:00:00Z 479.82 479.82 479.82 479.82
5 2016-02-22T00:00:00Z 479.82 479.82 479.82 479.82
6 2016-02-23T00:00:00Z 479.82 479.82 479.82 479.82
7 2016-02-24T00:00:00Z 479.82 479.82 479.82 479.82
8 2016-02-25T00:00:00Z 479.82 479.82 479.82 479.82
9 2016-02-26T00:00:00Z 479.82 479.82 479.82 479.82
10 2016-02-27T00:00:00Z 479.82 479.82 479.82 479.82
11 2016-02-28T00:00:00Z 479.82 479.82 479.82 479.82
12 2016-02-29T00:00:00Z 479.82 479.82 479.82 479.82
13 2016-03-01T00:00:00Z 479.82 479.82 479.82 479.82
14 2016-03-02T00:00:00Z 479.82 479.82 479.82 479.82
15 2016-03-03T00:00:00Z 479.82 479.82 479.82 479.82
16 2016-03-04T00:00:00Z 479.82 479.82 479.82 479.82
17 2016-03-05T00:00:00Z 479.82 479.82 479.82 479.82
18 2016-03-06T00:00:00Z 479.82 479.82 479.82 479.82
19 2016-03-07T00:00:00Z 479.82 479.82 479.82 479.82
20 2016-03-08T00:00:00Z 479.82 479.82 479.82 479.82
21 2016-03-09T00:00:00Z 479.82 479.82 479.82 479.82
22 2016-03-10T00:00:00Z 479.82 479.82 479.82 479.82
23 2016-03-11T00:00:00Z 479.82 479.82 479.82 479.82
24 2016-03-12T00:00:00Z 479.82 479.82 479.82 479.82
25 2016-03-13T00:00:00Z 479.82 479.82 479.82 479.82
26 2016-03-14T00:00:00Z 479.82 479.82 479.82 479.82
27 2016-03-15T00:00:00Z 479.82 479.82 479.82 479.82
28 2016-03-16T00:00:00Z 479.82 479.82 479.82 479.82
29 2016-03-17T00:00:00Z 479.82 479.82 479.82 479.82
30 2016-03-18T00:00:00Z 479.82 479.82 479.82 479.82
31 2016-03-19T00:00:00Z 479.82 479.82 479.82 479.82
32 2016-03-20T00:00:00Z 479.82 479.82 479.82 479.82
33 2016-03-21T00:00:00Z 479.82 479.82 479.82 479.82
34 2016-03-22T00:00:00Z 479.82 479.82 479.82 479.82
35 2016-03-23T00:00:00Z 479.82 479.82 479.82 479.82
36 2016-03-24T00:00:00Z 479.82 479.82 479.82 479.82
37 2016-03-25T00:00:00Z 479.82 479.82 479.82 479.82
38 2016-03-26T00:00:00Z 479.82 479.82 479.82 479.82
39 2016-03-27T00:00:00Z 479.82 479.82 479.82 479.82
40 2016-03-28T00:00:00Z 479.82 479.82 479.82 479.82
41 2016-03-29T00:00:00Z 479.82 479.82 479.82 479.82
42 2016-03-30T00:00:00Z 479.82 479.82 479.82 479.82
43 2016-03-31T00:00:00Z 479.82 479.82 479.82 479.82
44 2016-04-01T00:00:00Z 479.82 479.82 479.82 479.82
45 2016-04-02T00:00:00Z 479.82 479.82 479.82 479.82
46 2016-04-03T00:00:00Z 479.82 479.82 479.82 479.82
47 2016-04-04T00:00:00Z 479.82 479.82 479.82 479.82
48 2016-04-05T00:00:00Z 479.82 479.82 479.82 479.82
49 2016-04-06T00:00:00Z 479.82 479.82 479.82 479.82
50 2016-04-07T00:00:00Z 479.82 479.82 479.82 479.82
51 2016-04-08T00:00:00Z 479.82 479.82 479.82 479.82
52 2016-04-09T00:00:00Z 479.82 479.82 479.82 479.82
53 2016-04-10T00:00:00Z 479.82 479.82 479.82 479.82
54 2016-04-11T00:00:00Z 479.82 479.82 479.82 479.82
55 2016-04-12T00:00:00Z 479.82 479.82 479.82 479.82
56 2016-04-13T00:00:00Z 479.82 479.82 479.82 479.82
57 2016-04-14T00:00:00Z 479.82 479.82 479.82 479.82
58 2016-04-15T00:00:00Z 479.82 479.82 479.82 479.82
59 2016-04-16T00:00:00Z 479.82 479.82 479.82 479.82
60 2016-04-17T00:00:00Z 479.82 479.82 479.82 479.82
61 2016-04-18T00:00:00Z 479.82 479.82 479.82 479.82
62 2016-04-19T00:00:00Z 479.82 479.82 479.82 479.82
63 2016-04-20T00:00:00Z 479.82 479.82 479.82 479.82
64 2016-04-21T00:00:00Z 479.82 479.82 479.82 479.82
65 2016-04-22T00:00:00Z 479.82 479.82 479.82 479.82
66 2016-04-23T00:00:00Z 479.82 479.82 479.82 479.82
67 2016-04-24T00:00:00Z 479.82 479.82 479.82 479.82
68 2016-04-25T00:00:00Z 479.82 479.82 479.82 479.82
69 2016-04-26T00:00:00Z 479.82 479.82 479.82 479.82
70 2016-04-27T00:00:00Z 479.82 479.82 479.82 479.82
71 2016-04-28T00:00:00Z 479.82 479.82 479.82 479.82
72 2016-04-29T00:00:00Z 479.82 479.82 479.82 479.82
73 2016-04-30T00:00:00Z 479.82 479.82 479.82 479.82
74 2016-05-01T00:00:00Z 479.82 479.82 479.82 479.82
75 2016-05-02T00:00:00Z 479.82 479.82 479.82 479.82
76 2016-05-03T00:00:00Z 479.82 479.82 479.82 479.82
77 2016-05-04T00:00:00Z 479.82 479.82 479.82 479.82
78 2016-05-05T00:00:00Z 479.82 479.82 479.82 479.82
79 2016-05-06T00:00:00Z 479.82 479.82 479.82 479.82
80 2016-05-07T00:00:00Z 479.82 479.82 479.82 479.82
81 2016-05-08T00:00:00Z 479.82 479.82 479.82 479.82
82 2016-05-09T00:00:00Z 479.82 479.82 479.82 479.82
83 2016-05-10T00:00:00Z 479.82 479.82 479.82 479.82
84 2016-05-11T00:00:00Z 479.82 479.82 479.82 479.82
85 2016-05-12T00:00:00Z 479.82 479.82 479.82 479.82
86 2016-05-13T00:00:00Z 479.82 479.82 479.82 479.82
87 2016-05-14T00:00:00Z 479.82 479.82 479.82 479.82
88 2016-05-15T00:00:00Z 479.82 479.82 479.82 479.82
89 2016-05-16T00:00:00Z 479.82 479.82 479.82 479.82
90 2016-05-17T00:00:00Z 479.82 479.82 479.82 479.82
91 2016-05-18T00:00:00Z 479.82 479.82 479.82 479.82
92 2016-05-19T00:00:00Z 479.82 479.82 479.82 479.82
93 2016-05-20T00:00:00Z 479.82 479.82 479.82 479.82
94 2016-05-21T00:00:00Z 479.82 479.82 479.82 479.82
95 2016-05-22T00:00:00Z 479.82 479.82 479.82 479.82
96 2016-05-23T00:00:00Z 479.82 479.82 479.82 479.82
97 2016-05-24T00:00:00Z 479.82 479.82 479.82 479.82
98 2016-05-25T00:00:00Z 479.82 479.82 479.82 479.82
99 2016-05-26T00:00:00Z 479.82 479.82 479.82 479.82
