 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 3.47 3.68 3.82 3.44
1 2016-02-18T00:00:00Z 3.69 3.53 3.77 3.13
2 2016-02-19T00:00:00Z 3.54 3.51 3.75 3.47
3 2016-02-20T00:00:00Z 3.51 3.64 3.69 3.51
4 2016-02-21T00:00:00Z 3.63 4.0 4.2 3.6
5 2016-02-22T00:00:00Z 4.0 4.2 4.27 3.93
6 2016-02-23T00:00:00Z 4.11 3.8 4.23 3.74
7 2016-02-24T00:00:00Z 3.8 4.02 4.09 3.72
8 2016-02-25T00:00:00Z 4.02 3.91 4.04 3.81
9 2016-02-26T00:00:00Z 3.93 3.97 4.01 3.82
10 2016-02-27T00:00:00Z 3.98 4.08 4.09 3.91
11 2016-02-28T00:00:00Z 4.08 4.0 4.09 3.94
12 2016-02-29T00:00:00Z 4.0 3.92 4.03 3.88
13 2016-03-01T00:00:00Z 3.92 3.9 4.04 3.81
14 2016-03-02T00:00:00Z 3.9 3.88 4.01 3.86
15 2016-03-03T00:00:00Z 3.88 4.71 4.84 3.82
16 2016-03-04T00:00:00Z 4.63 4.63 5.13 4.35
17 2016-03-05T00:00:00Z 4.62 4.87 5.38 4.53
18 2016-03-06T00:00:00Z 4.92 4.58 5.14 4.58
19 2016-03-07T00:00:00Z 4.58 4.3 4.73 4.3
20 2016-03-08T00:00:00Z 4.29 4.6 4.61 4.19
21 2016-03-09T00:00:00Z 4.62 4.57 4.71 4.51
22 2016-03-10T00:00:00Z 4.57 4.92 5.3 4.49
23 2016-03-11T00:00:00Z 4.93 5.15 5.36 4.88
24 2016-03-12T00:00:00Z 5.19 5.31 5.39 4.96
25 2016-03-13T00:00:00Z 5.35 5.68 6.03 5.31
26 2016-03-14T00:00:00Z 5.68 5.54 5.99 5.42
27 2016-03-15T00:00:00Z 5.53 5.84 5.92 5.36
28 2016-03-16T00:00:00Z 5.86 6.33 6.56 5.77
29 2016-03-17T00:00:00Z 6.33 5.98 6.44 5.64
30 2016-03-18T00:00:00Z 5.98 5.95 6.17 5.66
31 2016-03-19T00:00:00Z 5.94 5.99 6.12 5.78
32 2016-03-20T00:00:00Z 5.77 6.12 6.14 5.77
33 2016-03-21T00:00:00Z 6.12 6.01 6.46 6.01
34 2016-03-22T00:00:00Z 5.97 6.09 6.25 5.91
35 2016-03-23T00:00:00Z 6.1 6.59 6.61 6.02
36 2016-03-24T00:00:00Z 6.67 6.66 6.69 6.28
37 2016-03-25T00:00:00Z 6.66 7.44 7.53 6.59
38 2016-03-26T00:00:00Z 7.44 7.21 7.44 7.03
