 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 3.86 3.86 3.86 3.86
1 2016-02-18T00:00:00Z 4.36 4.36 4.36 4.36
2 2016-02-19T00:00:00Z 4.45 4.45 4.45 4.45
3 2016-02-20T00:00:00Z 4.37 4.37 4.37 4.37
4 2016-02-21T00:00:00Z 4.63 4.63 4.63 4.63
5 2016-02-22T00:00:00Z 5.6 5.6 5.6 5.6
6 2016-02-23T00:00:00Z 5.7 5.7 5.7 5.7
7 2016-02-24T00:00:00Z 6.23 6.23 6.23 6.23
8 2016-02-25T00:00:00Z 5.93 5.93 5.93 5.93
9 2016-02-26T00:00:00Z 6.03 6.03 6.03 6.03
10 2016-02-27T00:00:00Z 6.31 6.31 6.31 6.31
11 2016-02-28T00:00:00Z 6.5 6.5 6.5 6.5
12 2016-02-29T00:00:00Z 6.35 6.35 6.35 6.35
13 2016-03-01T00:00:00Z 7.59 7.59 7.59 7.59
14 2016-03-02T00:00:00Z 8.7 8.7 8.7 8.7
15 2016-03-03T00:00:00Z 9.35 9.35 9.35 9.35
16 2016-03-04T00:00:00Z 9.96 9.96 9.96 9.96
17 2016-03-05T00:00:00Z 11.0 11.0 11.0 11.0
18 2016-03-06T00:00:00Z 10.98 10.98 10.98 10.98
19 2016-03-07T00:00:00Z 9.5 9.5 9.5 9.5
20 2016-03-08T00:00:00Z 9.88 9.88 9.88 9.88
21 2016-03-09T00:00:00Z 11.55 11.55 11.55 11.55
22 2016-03-10T00:00:00Z 11.11 11.11 11.11 11.11
23 2016-03-11T00:00:00Z 11.25 11.25 11.25 11.25
24 2016-03-12T00:00:00Z 13.25 13.25 13.25 13.25
25 2016-03-13T00:00:00Z 15.0 15.0 15.0 15.0
26 2016-03-14T00:00:00Z 12.5 12.5 12.5 12.5
27 2016-03-15T00:00:00Z 13.09 13.09 13.09 13.09
28 2016-03-16T00:00:00Z 12.92 12.92 12.92 12.92
29 2016-03-17T00:00:00Z 11.14 11.14 11.14 11.14
30 2016-03-18T00:00:00Z 10.75 10.75 10.75 10.75
31 2016-03-19T00:00:00Z 10.55 10.55 10.55 10.55
32 2016-03-20T00:00:00Z 10.06 10.06 10.06 10.06
