 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 2.04 2.04 2.04 2.04
1 2016-02-18T00:00:00Z 2.04 2.04 2.04 2.04
2 2016-02-19T00:00:00Z 2.04 2.04 2.04 2.04
3 2016-02-20T00:00:00Z 2.04 2.04 2.04 2.04
4 2016-02-21T00:00:00Z 2.04 2.04 2.04 2.04
5 2016-02-22T00:00:00Z 2.04 2.04 2.04 2.04
6 2016-02-23T00:00:00Z 2.04 2.04 2.04 2.04
7 2016-02-24T00:00:00Z 2.04 2.04 2.04 2.04
8 2016-02-25T00:00:00Z 2.04 2.04 2.04 2.04
9 2016-02-26T00:00:00Z 2.04 2.04 2.04 2.04
10 2016-02-27T00:00:00Z 2.04 2.04 2.04 2.04
11 2016-02-28T00:00:00Z 2.04 2.04 2.04 2.04
12 2016-02-29T00:00:00Z 2.04 2.04 2.04 2.04
13 2016-03-01T00:00:00Z 2.04 2.04 2.04 2.04
14 2016-03-02T00:00:00Z 2.04 2.04 2.04 2.04
15 2016-03-03T00:00:00Z 2.04 2.04 2.04 2.04
16 2016-03-04T00:00:00Z 2.04 2.04 2.04 2.04
17 2016-03-05T00:00:00Z 2.04 2.04 2.04 2.04
18 2016-03-06T00:00:00Z 2.04 2.04 2.04 2.04
19 2016-03-07T00:00:00Z 2.04 2.04 2.04 2.04
20 2016-03-08T00:00:00Z 2.04 2.04 2.04 2.04
21 2016-03-09T00:00:00Z 2.04 2.04 2.04 2.04
22 2016-03-10T00:00:00Z 2.04 2.04 2.04 2.04
23 2016-03-11T00:00:00Z 2.04 2.04 2.04 2.04
24 2016-03-12T00:00:00Z 2.04 2.04 2.04 2.04
25 2016-03-13T00:00:00Z 2.04 2.04 2.04 2.04
26 2016-03-14T00:00:00Z 2.04 2.04 2.04 2.04
27 2016-03-15T00:00:00Z 2.04 2.04 2.04 2.04
28 2016-03-16T00:00:00Z 2.04 2.04 2.04 2.04
29 2016-03-17T00:00:00Z 2.04 2.04 2.04 2.04
30 2016-03-18T00:00:00Z 2.04 2.04 2.04 2.04
31 2016-03-19T00:00:00Z 2.04 2.04 2.04 2.04
32 2016-03-20T00:00:00Z 2.04 2.04 2.04 2.04
33 2016-03-21T00:00:00Z 2.04 2.04 2.04 2.04
34 2016-03-22T00:00:00Z 2.04 2.04 2.04 2.04
35 2016-03-23T00:00:00Z 2.04 2.04 2.04 2.04
36 2016-03-24T00:00:00Z 2.04 2.04 2.04 2.04
37 2016-03-25T00:00:00Z 2.04 2.04 2.04 2.04
38 2016-03-26T00:00:00Z 2.04 2.04 2.04 2.04
39 2016-03-27T00:00:00Z 2.04 2.04 2.04 2.04
40 2016-03-28T00:00:00Z 2.04 2.04 2.04 2.04
41 2016-03-29T00:00:00Z 2.04 2.04 2.04 2.04
42 2016-03-30T00:00:00Z 2.04 2.04 2.04 2.04
43 2016-03-31T00:00:00Z 2.04 2.04 2.04 2.04
44 2016-04-01T00:00:00Z 2.04 2.04 2.04 2.04
45 2016-04-02T00:00:00Z 2.04 2.04 2.04 2.04
46 2016-04-03T00:00:00Z 2.04 2.04 2.04 2.04
