 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 3.23 3.24 3.26 3.2
1 2016-02-18T00:00:00Z 3.25 3.25 3.27 3.23
2 2016-02-19T00:00:00Z 3.26 3.25 3.27 3.23
3 2016-02-20T00:00:00Z 3.27 3.46 3.5 3.26
4 2016-02-21T00:00:00Z 3.46 3.46 3.58 3.4
5 2016-02-22T00:00:00Z 3.47 3.48 3.51 3.43
6 2016-02-23T00:00:00Z 3.49 3.4 3.52 3.38
7 2016-02-24T00:00:00Z 3.4 3.37 3.42 3.32
8 2016-02-25T00:00:00Z 3.39 3.37 3.4 3.33
9 2016-02-26T00:00:00Z 3.37 3.42 3.42 3.32
10 2016-02-27T00:00:00Z 3.43 3.41 3.45 3.39
11 2016-02-28T00:00:00Z 3.41 3.44 3.47 3.36
12 2016-02-29T00:00:00Z 3.44 3.45 3.49 3.42
13 2016-03-01T00:00:00Z 3.45 3.43 3.45 3.41
14 2016-03-02T00:00:00Z 3.43 3.37 3.44 3.37
15 2016-03-03T00:00:00Z 3.36 3.32 3.36 3.31
16 2016-03-04T00:00:00Z 3.32 3.25 3.35 3.25
17 2016-03-05T00:00:00Z 3.25 3.19 3.25 3.13
18 2016-03-06T00:00:00Z 3.19 3.22 3.25 3.17
19 2016-03-07T00:00:00Z 3.22 3.27 3.27 3.2
20 2016-03-08T00:00:00Z 3.27 3.25 3.28 3.23
21 2016-03-09T00:00:00Z 3.25 3.28 3.3 3.24
22 2016-03-10T00:00:00Z 3.28 3.29 3.29 3.25
23 2016-03-11T00:00:00Z 3.29 3.38 3.4 3.29
24 2016-03-12T00:00:00Z 3.39 3.29 3.39 3.27
25 2016-03-13T00:00:00Z 3.29 3.31 3.32 3.28
26 2016-03-14T00:00:00Z 3.31 3.3 3.33 3.29
27 2016-03-15T00:00:00Z 3.3 3.31 3.33 3.29
28 2016-03-16T00:00:00Z 3.31 3.31 3.32 3.3
29 2016-03-17T00:00:00Z 3.31 3.31 3.32 3.3
30 2016-03-18T00:00:00Z 3.31 3.17 3.31 3.15
31 2016-03-19T00:00:00Z 3.17 3.18 3.19 3.16
32 2016-03-20T00:00:00Z 3.18 3.21 3.21 3.18
33 2016-03-21T00:00:00Z 3.21 3.2 3.21 3.19
34 2016-03-22T00:00:00Z 3.2 3.23 3.24 3.2
35 2016-03-23T00:00:00Z 3.23 3.24 3.25 3.22
36 2016-03-24T00:00:00Z 3.25 3.22 3.25 3.22
37 2016-03-25T00:00:00Z 3.23 3.23 3.24 3.21
38 2016-03-26T00:00:00Z 3.23 3.23 3.24 3.21
39 2016-03-27T00:00:00Z 3.23 3.3 3.32 3.23
40 2016-03-28T00:00:00Z 3.3 3.26 3.3 3.26
41 2016-03-29T00:00:00Z 3.26 3.23 3.28 3.2
42 2016-03-30T00:00:00Z 3.23 3.22 3.28 3.2
43 2016-03-31T00:00:00Z 3.23 3.26 3.27 3.22
44 2016-04-01T00:00:00Z 3.25 3.24 3.26 3.23
45 2016-04-02T00:00:00Z 3.25 3.26 3.28 3.24
46 2016-04-03T00:00:00Z 3.26 3.26 3.27 3.25
47 2016-04-04T00:00:00Z 3.26 3.25 3.27 3.22
48 2016-04-05T00:00:00Z 3.25 3.25 3.27 3.24
49 2016-04-06T00:00:00Z 3.26 3.26 3.26 3.24
50 2016-04-07T00:00:00Z 3.26 3.25 3.26 3.23
51 2016-04-08T00:00:00Z 3.24 3.22 3.25 3.21
52 2016-04-09T00:00:00Z 3.22 3.22 3.23 3.2
53 2016-04-10T00:00:00Z 3.22 3.23 3.25 3.21
54 2016-04-11T00:00:00Z 3.23 3.24 3.24 3.21
55 2016-04-12T00:00:00Z 3.24 3.26 3.28 3.23
56 2016-04-13T00:00:00Z 3.26 3.24 3.27 3.24
57 2016-04-14T00:00:00Z 3.25 3.24 3.26 3.23
58 2016-04-15T00:00:00Z 3.24 3.28 3.28 3.24
59 2016-04-16T00:00:00Z 3.28 3.27 3.29 3.27
60 2016-04-17T00:00:00Z 3.28 3.26 3.28 3.25
61 2016-04-18T00:00:00Z 3.26 3.24 3.27 3.24
62 2016-04-19T00:00:00Z 3.25 3.29 3.29 3.24
63 2016-04-20T00:00:00Z 3.29 3.28 3.29 3.27
64 2016-04-21T00:00:00Z 3.28 3.35 3.35 3.27
65 2016-04-22T00:00:00Z 3.35 3.32 3.35 3.31
66 2016-04-23T00:00:00Z 3.32 3.33 3.34 3.31
67 2016-04-24T00:00:00Z 3.35 3.63 3.65 3.35
68 2016-04-25T00:00:00Z 3.62 3.81 3.87 3.55
69 2016-04-26T00:00:00Z 3.8 4.05 4.11 3.79
70 2016-04-27T00:00:00Z 4.05 3.89 4.23 3.87
71 2016-04-28T00:00:00Z 3.88 3.79 3.88 3.69
72 2016-04-29T00:00:00Z 3.79 3.81 3.85 3.72
73 2016-04-30T00:00:00Z 3.81 3.66 3.82 3.64
74 2016-05-01T00:00:00Z 3.66 3.71 3.72 3.64
75 2016-05-02T00:00:00Z 3.71 3.68 3.78 3.64
76 2016-05-03T00:00:00Z 3.68 3.74 3.76 3.66
77 2016-05-04T00:00:00Z 3.74 3.75 3.78 3.73
78 2016-05-05T00:00:00Z 3.74 3.71 3.76 3.71
79 2016-05-06T00:00:00Z 3.72 3.82 3.82 3.71
80 2016-05-07T00:00:00Z 3.82 3.95 4.0 3.82
81 2016-05-08T00:00:00Z 3.94 3.94 3.94 3.89
82 2016-05-09T00:00:00Z 3.94 4.06 4.08 3.9
83 2016-05-10T00:00:00Z 4.06 3.82 4.12 3.8
84 2016-05-11T00:00:00Z 3.82 3.88 3.91 3.81
85 2016-05-12T00:00:00Z 3.88 3.86 3.9 3.8
86 2016-05-13T00:00:00Z 3.86 3.93 3.96 3.83
87 2016-05-14T00:00:00Z 3.93 4.01 4.05 3.92
88 2016-05-15T00:00:00Z 4.01 4.06 4.1 3.97
89 2016-05-16T00:00:00Z 4.06 4.01 4.16 3.98
90 2016-05-17T00:00:00Z 4.0 3.98 4.03 3.97
91 2016-05-18T00:00:00Z 3.98 4.0 4.04 3.98
92 2016-05-19T00:00:00Z 4.0 3.83 4.03 3.83
93 2016-05-20T00:00:00Z 3.82 3.88 3.92 3.82
94 2016-05-21T00:00:00Z 3.88 3.95 3.97 3.88
95 2016-05-22T00:00:00Z 3.96 3.93 3.99 3.9
96 2016-05-23T00:00:00Z 3.92 3.97 3.97 3.9
97 2016-05-24T00:00:00Z 3.96 3.95 3.98 3.94
98 2016-05-25T00:00:00Z 3.95 4.05 4.05 3.95
99 2016-05-26T00:00:00Z 4.05 4.08 4.1 4.03
100 2016-05-27T00:00:00Z 4.09 4.5 4.68 4.09
101 2016-05-28T00:00:00Z 4.51 4.7 4.83 4.51
102 2016-05-29T00:00:00Z 4.69 4.61 4.86 4.58
103 2016-05-30T00:00:00Z 4.63 4.67 4.7 4.59
104 2016-05-31T00:00:00Z 4.69 4.65 4.75 4.6
105 2016-06-01T00:00:00Z 4.65 4.74 4.77 4.62
106 2016-06-02T00:00:00Z 4.74 4.72 4.76 4.68
107 2016-06-03T00:00:00Z 4.72 4.86 4.87 4.71
108 2016-06-04T00:00:00Z 4.86 4.81 4.9 4.77
109 2016-06-05T00:00:00Z 4.8 4.81 4.84 4.79
110 2016-06-06T00:00:00Z 4.81 4.96 4.97 4.81
111 2016-06-07T00:00:00Z 4.95 4.77 4.98 4.72
112 2016-06-08T00:00:00Z 4.77 4.75 4.79 4.69
113 2016-06-09T00:00:00Z 4.78 4.69 4.78 4.67
114 2016-06-10T00:00:00Z 4.75 4.84 4.85 4.71
115 2016-06-11T00:00:00Z 4.88 5.01 5.01 4.84
116 2016-06-12T00:00:00Z 5.07 5.33 5.46 5.05
117 2016-06-13T00:00:00Z 5.41 5.29 5.54 5.16
118 2016-06-14T00:00:00Z 5.31 5.2 5.31 5.1
119 2016-06-15T00:00:00Z 5.22 5.24 5.24 5.11
120 2016-06-16T00:00:00Z 5.25 5.66 5.66 5.25
121 2016-06-17T00:00:00Z 5.67 5.59 5.95 5.28
122 2016-06-18T00:00:00Z 5.6 5.56 5.69 5.49
123 2016-06-19T00:00:00Z 5.56 5.59 5.63 5.51
124 2016-06-20T00:00:00Z 5.63 5.29 5.63 5.27
125 2016-06-21T00:00:00Z 5.27 4.82 5.29 4.7
126 2016-06-22T00:00:00Z 4.83 3.91 4.92 3.88
127 2016-06-23T00:00:00Z 3.92 3.85 3.95 3.47
128 2016-06-24T00:00:00Z 3.85 4.28 4.33 3.85
129 2016-06-25T00:00:00Z 4.27 4.23 4.44 3.92
130 2016-06-26T00:00:00Z 4.24 4.07 4.24 3.97
131 2016-06-27T00:00:00Z 4.05 4.12 4.16 4.03
132 2016-06-28T00:00:00Z 4.14 4.1 4.18 4.07
133 2016-06-29T00:00:00Z 4.1 4.06 4.1 4.03
134 2016-06-30T00:00:00Z 4.08 4.19 4.21 4.04
135 2016-07-01T00:00:00Z 4.19 4.26 4.33 4.18
136 2016-07-02T00:00:00Z 4.28 4.59 4.61 4.24
137 2016-07-03T00:00:00Z 4.66 4.25 4.66 4.19
138 2016-07-04T00:00:00Z 4.27 4.54 4.54 4.21
139 2016-07-05T00:00:00Z 4.56 4.45 4.56 4.36
140 2016-07-06T00:00:00Z 4.46 4.47 4.51 4.42
141 2016-07-07T00:00:00Z 4.5 4.11 4.53 3.95
142 2016-07-08T00:00:00Z 4.12 4.22 4.23 4.08
143 2016-07-09T00:00:00Z 4.24 4.16 4.24 3.97
144 2016-07-10T00:00:00Z 4.12 4.1 4.15 4.06
145 2016-07-11T00:00:00Z 4.12 4.09 4.19 4.06
146 2016-07-12T00:00:00Z 4.09 4.15 4.21 4.09
147 2016-07-13T00:00:00Z 4.16 4.14 4.18 4.13
148 2016-07-14T00:00:00Z 4.14 4.15 4.18 4.12
149 2016-07-15T00:00:00Z 4.15 4.16 4.18 4.15
150 2016-07-16T00:00:00Z 4.15 4.13 4.16 4.11
151 2016-07-17T00:00:00Z 4.14 4.19 4.21 4.13
152 2016-07-18T00:00:00Z 4.2 4.15 4.2 4.14
153 2016-07-19T00:00:00Z 4.15 4.15 4.17 4.14
154 2016-07-20T00:00:00Z 4.15 4.13 4.16 4.11
155 2016-07-21T00:00:00Z 4.13 4.12 4.14 4.11
156 2016-07-22T00:00:00Z 4.13 4.04 4.14 4.03
157 2016-07-23T00:00:00Z 4.04 4.06 4.06 4.03
158 2016-07-24T00:00:00Z 4.06 4.07 4.08 4.04
159 2016-07-25T00:00:00Z 4.07 4.03 4.08 4.03
160 2016-07-26T00:00:00Z 4.04 3.97 4.05 3.93
161 2016-07-27T00:00:00Z 3.96 3.96 3.99 3.93
162 2016-07-28T00:00:00Z 3.97 3.97 3.99 3.96
163 2016-07-29T00:00:00Z 3.97 4.08 4.1 3.96
164 2016-07-30T00:00:00Z 4.08 4.06 4.09 4.06
165 2016-07-31T00:00:00Z 4.08 4.01 4.08 3.97
166 2016-08-01T00:00:00Z 4.06 3.86 4.06 3.86
167 2016-08-02T00:00:00Z 3.87 3.64 3.89 3.52
168 2016-08-03T00:00:00Z 3.64 3.72 3.74 3.59
169 2016-08-04T00:00:00Z 3.71 3.75 3.75 3.71
170 2016-08-05T00:00:00Z 3.74 3.73 3.74 3.7
171 2016-08-06T00:00:00Z 3.72 3.76 3.77 3.7
172 2016-08-07T00:00:00Z 3.76 3.78 3.81 3.75
173 2016-08-08T00:00:00Z 3.77 3.79 3.8 3.75
174 2016-08-09T00:00:00Z 3.78 3.76 3.78 3.74
175 2016-08-10T00:00:00Z 3.76 3.72 3.81 3.72
176 2016-08-11T00:00:00Z 3.72 3.74 3.75 3.64
177 2016-08-12T00:00:00Z 3.74 3.71 3.75 3.69
178 2016-08-13T00:00:00Z 3.71 3.71 3.75 3.68
179 2016-08-14T00:00:00Z 3.72 3.65 3.72 3.61
180 2016-08-15T00:00:00Z 3.65 3.58 3.68 3.57
181 2016-08-16T00:00:00Z 3.59 3.64 3.65 3.58
182 2016-08-17T00:00:00Z 3.65 3.6 3.65 3.59
183 2016-08-18T00:00:00Z 3.6 3.61 3.64 3.6
184 2016-08-19T00:00:00Z 3.61 3.6 3.62 3.6
185 2016-08-20T00:00:00Z 3.61 3.62 3.63 3.6
186 2016-08-21T00:00:00Z 3.62 3.62 3.63 3.6
187 2016-08-22T00:00:00Z 3.62 3.66 3.66 3.6
188 2016-08-23T00:00:00Z 3.66 3.93 4.01 3.66
189 2016-08-24T00:00:00Z 3.93 3.86 3.95 3.84
190 2016-08-25T00:00:00Z 3.86 3.8 3.87 3.78
191 2016-08-26T00:00:00Z 3.8 3.83 3.85 3.79
192 2016-08-27T00:00:00Z 3.82 3.74 3.83 3.73
193 2016-08-28T00:00:00Z 3.74 3.74 3.76 3.73
194 2016-08-29T00:00:00Z 3.74 3.76 3.79 3.74
195 2016-08-30T00:00:00Z 3.77 3.8 3.82 3.75
196 2016-08-31T00:00:00Z 3.81 3.8 3.81 3.78
197 2016-09-01T00:00:00Z 3.8 3.83 3.85 3.79
198 2016-09-02T00:00:00Z 3.84 3.82 3.84 3.81
199 2016-09-03T00:00:00Z 3.83 3.89 3.91 3.81
200 2016-09-04T00:00:00Z 3.89 4.01 4.04 3.88
201 2016-09-05T00:00:00Z 4.02 3.98 4.03 3.97
202 2016-09-06T00:00:00Z 3.98 3.97 3.99 3.95
203 2016-09-07T00:00:00Z 3.99 3.97 4.13 3.95
204 2016-09-08T00:00:00Z 3.97 3.99 4.01 3.96
205 2016-09-09T00:00:00Z 3.98 3.97 3.99 3.96
206 2016-09-10T00:00:00Z 3.97 3.97 3.98 3.96
207 2016-09-11T00:00:00Z 3.97 3.86 3.99 3.85
208 2016-09-12T00:00:00Z 3.87 3.82 3.87 3.79
209 2016-09-13T00:00:00Z 3.83 3.82 3.85 3.81
210 2016-09-14T00:00:00Z 3.82 3.83 3.85 3.82
211 2016-09-15T00:00:00Z 3.83 3.81 3.84 3.8
212 2016-09-16T00:00:00Z 3.82 3.81 3.83 3.8
213 2016-09-17T00:00:00Z 3.8 3.81 3.82 3.8
214 2016-09-18T00:00:00Z 3.81 4.04 4.09 3.81
215 2016-09-19T00:00:00Z 4.04 3.83 4.2 3.82
216 2016-09-20T00:00:00Z 3.83 3.84 3.86 3.82
217 2016-09-21T00:00:00Z 3.87 3.84 3.87 3.76
218 2016-09-22T00:00:00Z 3.86 3.77 3.86 3.77
219 2016-09-23T00:00:00Z 3.77 3.81 3.82 3.76
220 2016-09-24T00:00:00Z 3.81 3.81 3.84 3.8
221 2016-09-25T00:00:00Z 3.8 3.81 3.81 3.78
222 2016-09-26T00:00:00Z 3.8 3.86 3.87 3.8
223 2016-09-27T00:00:00Z 3.86 3.85 3.87 3.84
224 2016-09-28T00:00:00Z 3.85 3.84 3.87 3.83
225 2016-09-29T00:00:00Z 3.84 3.85 3.86 3.83
226 2016-09-30T00:00:00Z 3.84 3.84 3.85 3.82
227 2016-10-01T00:00:00Z 3.85 3.85 3.86 3.84
228 2016-10-02T00:00:00Z 3.85 3.84 3.88 3.82
229 2016-10-03T00:00:00Z 3.85 3.84 3.85 3.83
230 2016-10-04T00:00:00Z 3.84 3.82 3.84 3.82
231 2016-10-05T00:00:00Z 3.83 3.84 3.85 3.83
232 2016-10-06T00:00:00Z 3.85 3.85 3.86 3.83
233 2016-10-07T00:00:00Z 3.84 3.86 3.86 3.83
234 2016-10-08T00:00:00Z 3.86 3.84 3.87 3.84
235 2016-10-09T00:00:00Z 3.84 3.82 3.85 3.81
236 2016-10-10T00:00:00Z 3.82 3.8 3.83 3.78
