 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 0.952 0.7332 0.9543 0.7119
1 2016-02-18T00:00:00Z 0.7321 0.7745 0.7936 0.6934
2 2016-02-19T00:00:00Z 0.7749 0.8191 0.8522 0.7317
3 2016-02-20T00:00:00Z 0.8285 0.8245 0.8836 0.7889
4 2016-02-21T00:00:00Z 0.8223 0.7821 0.8315 0.7391
5 2016-02-22T00:00:00Z 0.7796 0.778 0.8265 0.7578
6 2016-02-23T00:00:00Z 0.7802 0.7565 0.7944 0.7336
7 2016-02-24T00:00:00Z 0.7573 0.8013 0.8018 0.7462
8 2016-02-25T00:00:00Z 0.8065 0.8064 0.8871 0.7846
9 2016-02-26T00:00:00Z 0.8062 0.8136 0.8245 0.7913
10 2016-02-27T00:00:00Z 0.8204 0.8297 0.8597 0.8066
11 2016-02-28T00:00:00Z 0.8288 0.8705 0.8889 0.8031
12 2016-02-29T00:00:00Z 0.8703 0.8705 0.8905 0.848
13 2016-03-01T00:00:00Z 0.87 0.848 0.8896 0.8195
14 2016-03-02T00:00:00Z 0.8464 0.8276 0.8695 0.8207
15 2016-03-03T00:00:00Z 0.8238 1.09 1.14 0.818
16 2016-03-04T00:00:00Z 1.09 1.1 1.25 1.04
17 2016-03-05T00:00:00Z 1.1 1.2 1.37 1.1
18 2016-03-06T00:00:00Z 1.2 1.2 1.26 1.05
19 2016-03-07T00:00:00Z 1.21 1.07 1.22 0.9999
20 2016-03-08T00:00:00Z 1.08 1.19 1.19 1.02
21 2016-03-09T00:00:00Z 1.19 1.24 1.32 1.1
22 2016-03-10T00:00:00Z 1.25 1.09 1.31 1.07
23 2016-03-11T00:00:00Z 1.1 1.1 1.14 1.08
24 2016-03-12T00:00:00Z 1.1 1.15 1.19 1.06
25 2016-03-13T00:00:00Z 1.15 1.24 1.25 1.13
26 2016-03-14T00:00:00Z 1.24 1.12 1.24 1.11
27 2016-03-15T00:00:00Z 1.12 1.14 1.18 1.1
28 2016-03-16T00:00:00Z 1.14 1.15 1.2 1.12
29 2016-03-17T00:00:00Z 1.15 1.3 1.34 1.05
30 2016-03-18T00:00:00Z 1.31 1.15 1.33 1.11
31 2016-03-19T00:00:00Z 1.15 1.21 1.26 1.13
32 2016-03-20T00:00:00Z 1.2 1.52 1.53 1.2
33 2016-03-21T00:00:00Z 1.52 1.49 1.54 1.36
34 2016-03-22T00:00:00Z 1.48 1.39 1.53 1.34
35 2016-03-23T00:00:00Z 1.35 1.45 1.46 1.34
36 2016-03-24T00:00:00Z 1.45 1.7 1.73 1.39
37 2016-03-25T00:00:00Z 1.69 1.6 1.75 1.58
38 2016-03-26T00:00:00Z 1.6 1.7 1.73 1.58
39 2016-03-27T00:00:00Z 1.69 1.53 1.72 1.43
40 2016-03-28T00:00:00Z 1.53 1.49 1.56 1.4
41 2016-03-29T00:00:00Z 1.49 1.49 1.53 1.46
42 2016-03-30T00:00:00Z 1.48 1.45 1.52 1.41
43 2016-03-31T00:00:00Z 1.44 1.4 1.46 1.39
44 2016-04-01T00:00:00Z 1.41 1.46 1.48 1.41
45 2016-04-02T00:00:00Z 1.46 1.55 1.57 1.46
46 2016-04-03T00:00:00Z 1.53 1.54 1.58 1.48
47 2016-04-04T00:00:00Z 1.55 1.6 1.6 1.5
48 2016-04-05T00:00:00Z 1.58 1.52 1.58 1.45
49 2016-04-06T00:00:00Z 1.52 1.51 1.57 1.46
50 2016-04-07T00:00:00Z 1.51 1.5 1.57 1.5
51 2016-04-08T00:00:00Z 1.51 1.24 1.54 1.14
52 2016-04-09T00:00:00Z 1.26 1.13 1.37 1.13
53 2016-04-10T00:00:00Z 1.14 1.1 1.17 0.9217
54 2016-04-11T00:00:00Z 1.12 1.02 1.13 0.986
55 2016-04-12T00:00:00Z 1.02 0.956 1.03 0.8757
56 2016-04-13T00:00:00Z 0.9445 1.03 1.07 0.9222
57 2016-04-14T00:00:00Z 1.03 1.01 1.06 0.9762
58 2016-04-15T00:00:00Z 1.01 0.9901 1.02 0.9543
59 2016-04-16T00:00:00Z 0.9905 0.978 0.9974 0.9474
60 2016-04-17T00:00:00Z 0.9783 1.04 1.08 0.9698
61 2016-04-18T00:00:00Z 1.04 1.11 1.12 1.02
62 2016-04-19T00:00:00Z 1.11 1.11 1.16 1.1
63 2016-04-20T00:00:00Z 1.11 1.06 1.12 1.0
64 2016-04-21T00:00:00Z 1.06 0.9772 1.07 0.9462
65 2016-04-22T00:00:00Z 0.9684 0.9804 1.01 0.951
66 2016-04-23T00:00:00Z 0.9778 1.04 1.05 0.9778
67 2016-04-24T00:00:00Z 1.03 1.01 1.04 0.9873
68 2016-04-25T00:00:00Z 1.02 0.9534 1.04 0.9427
69 2016-04-26T00:00:00Z 0.9623 0.8843 0.9951 0.8448
70 2016-04-27T00:00:00Z 0.894 0.9415 0.9762 0.8608
71 2016-04-28T00:00:00Z 0.9435 0.9048 0.9534 0.8823
72 2016-04-29T00:00:00Z 0.9047 0.8837 0.9341 0.8727
73 2016-04-30T00:00:00Z 0.8835 0.9165 0.9707 0.8835
74 2016-05-01T00:00:00Z 0.9168 0.9143 0.9459 0.895
75 2016-05-02T00:00:00Z 0.9112 0.9644 1.0 0.8957
76 2016-05-03T00:00:00Z 0.9637 0.9082 0.9775 0.9082
77 2016-05-04T00:00:00Z 0.9175 0.9165 0.9506 0.8998
78 2016-05-05T00:00:00Z 0.9164 0.9068 0.9222 0.8795
79 2016-05-06T00:00:00Z 0.907 0.8775 0.9191 0.8684
80 2016-05-07T00:00:00Z 0.877 0.8801 0.8846 0.8324
81 2016-05-08T00:00:00Z 0.8805 0.8506 0.898 0.8353
82 2016-05-09T00:00:00Z 0.8487 0.8254 0.867 0.8142
83 2016-05-10T00:00:00Z 0.826 0.8295 0.8756 0.8121
84 2016-05-11T00:00:00Z 0.8288 0.8597 0.8694 0.8274
85 2016-05-12T00:00:00Z 0.8599 0.8757 0.8871 0.8443
86 2016-05-13T00:00:00Z 0.8757 0.8478 0.8833 0.8418
87 2016-05-14T00:00:00Z 0.8479 0.8389 0.8597 0.8247
88 2016-05-15T00:00:00Z 0.8386 0.8238 0.8569 0.8067
89 2016-05-16T00:00:00Z 0.8264 0.8184 0.8503 0.8061
90 2016-05-17T00:00:00Z 0.8183 0.8133 0.854 0.8064
91 2016-05-18T00:00:00Z 0.8131 0.8405 0.8782 0.8006
92 2016-05-19T00:00:00Z 0.8405 0.8536 0.868 0.8288
93 2016-05-20T00:00:00Z 0.8588 0.9422 0.9864 0.8521
94 2016-05-21T00:00:00Z 0.9404 0.9754 1.0 0.9343
95 2016-05-22T00:00:00Z 0.9753 0.9388 0.9857 0.9202
96 2016-05-23T00:00:00Z 0.9385 0.9147 0.9597 0.9047
97 2016-05-24T00:00:00Z 0.9145 0.9011 0.992 0.9011
98 2016-05-25T00:00:00Z 0.8992 0.8659 0.9181 0.865
99 2016-05-26T00:00:00Z 0.8659 0.8602 0.9091 0.8424
100 2016-05-27T00:00:00Z 0.8602 0.8591 0.8744 0.8306
101 2016-05-28T00:00:00Z 0.8619 0.9197 0.9215 0.8464
102 2016-05-29T00:00:00Z 0.9283 0.8817 0.9568 0.8565
103 2016-05-30T00:00:00Z 0.8805 0.9105 0.919 0.8761
104 2016-05-31T00:00:00Z 0.9097 0.9287 0.9691 0.9015
105 2016-06-01T00:00:00Z 0.9342 0.9149 0.9505 0.8736
106 2016-06-02T00:00:00Z 0.9134 0.9267 0.9339 0.9073
107 2016-06-03T00:00:00Z 0.9266 0.9452 0.9587 0.9241
108 2016-06-04T00:00:00Z 0.9409 0.9744 0.9915 0.9404
109 2016-06-05T00:00:00Z 0.9736 1.0 1.01 0.9603
110 2016-06-06T00:00:00Z 1.01 1.01 1.05 0.9872
111 2016-06-07T00:00:00Z 1.0 1.01 1.01 0.9588
112 2016-06-08T00:00:00Z 1.01 1.0 1.02 0.9715
113 2016-06-09T00:00:00Z 0.9945 1.11 1.22 0.99
114 2016-06-10T00:00:00Z 1.11 1.15 1.19 1.08
115 2016-06-11T00:00:00Z 1.14 1.14 1.18 1.12
116 2016-06-12T00:00:00Z 1.14 1.25 1.28 1.11
