 begins_at open_price close_price high_price low_price
0 2016-02-17T00:00:00Z 0.0085 0.0081 0.0085 0.0081
1 2016-02-18T00:00:00Z 0.0081 0.008 0.0081 0.0079
2 2016-02-19T00:00:00Z 0.008 0.0082 0.0083 0.008
3 2016-02-20T00:00:00Z 0.0083 0.0083 0.0084 0.0082
4 2016-02-21T00:00:00Z 0.0082 0.0081 0.0083 0.0081
5 2016-02-22T00:00:00Z 0.0081 0.008 0.0081 0.008
6 2016-02-23T00:00:00Z 0.0081 0.008 0.0081 0.008
7 2016-02-24T00:00:00Z 0.008 0.0081 0.0081 0.008
8 2016-02-25T00:00:00Z 0.0081 0.008 0.0081 0.008
9 2016-02-26T00:00:00Z 0.008 0.0081 0.0081 0.008
10 2016-02-27T00:00:00Z 0.0081 0.008 0.0081 0.008
11 2016-02-28T00:00:00Z 0.008 0.0079 0.008 0.0079
12 2016-02-29T00:00:00Z 0.0079 0.0079 0.0079 0.0078
13 2016-03-01T00:00:00Z 0.0079 0.008 0.008 0.0079
14 2016-03-02T00:00:00Z 0.008 0.008 0.0081 0.008
15 2016-03-03T00:00:00Z 0.008 0.0082 0.0082 0.008
16 2016-03-04T00:00:00Z 0.008 0.0081 0.0082 0.008
17 2016-03-05T00:00:00Z 0.0081 0.0079 0.0082 0.0078
18 2016-03-06T00:00:00Z 0.0079 0.0079 0.0079 0.0078
19 2016-03-07T00:00:00Z 0.0078 0.0079 0.008 0.0078
20 2016-03-08T00:00:00Z 0.0079 0.0079 0.008 0.0079
21 2016-03-09T00:00:00Z 0.008 0.0081 0.0081 0.0079
22 2016-03-10T00:00:00Z 0.0081 0.0082 0.0082 0.008
23 2016-03-11T00:00:00Z 0.0082 0.0088 0.0089 0.0082
24 2016-03-12T00:00:00Z 0.0088 0.0087 0.009 0.0086
25 2016-03-13T00:00:00Z 0.0087 0.0086 0.0087 0.0086
26 2016-03-14T00:00:00Z 0.0086 0.0085 0.0086 0.0085
27 2016-03-15T00:00:00Z 0.0085 0.0082 0.0085 0.008
28 2016-03-16T00:00:00Z 0.0082 0.0082 0.0083 0.0081
29 2016-03-17T00:00:00Z 0.0082 0.0083 0.0084 0.0082
30 2016-03-18T00:00:00Z 0.0083 0.0081 0.0084 0.008
31 2016-03-19T00:00:00Z 0.0081 0.008 0.0082 0.0079
32 2016-03-20T00:00:00Z 0.008 0.008 0.008 0.0079
33 2016-03-21T00:00:00Z 0.008 0.008 0.0081 0.0079
34 2016-03-22T00:00:00Z 0.008 0.0081 0.0082 0.008
35 2016-03-23T00:00:00Z 0.0081 0.0083 0.0083 0.0081
36 2016-03-24T00:00:00Z 0.0083 0.0082 0.0083 0.0082
37 2016-03-25T00:00:00Z 0.0082 0.0082 0.0083 0.0082
38 2016-03-26T00:00:00Z 0.0082 0.0081 0.0082 0.0081
39 2016-03-27T00:00:00Z 0.0081 0.008 0.0081 0.008
40 2016-03-28T00:00:00Z 0.008 0.0076 0.008 0.0075
41 2016-03-29T00:00:00Z 0.0076 0.0076 0.0076 0.0074
42 2016-03-30T00:00:00Z 0.0076 0.0073 0.0076 0.0073
43 2016-03-31T00:00:00Z 0.0073 0.0074 0.0074 0.0073
44 2016-04-01T00:00:00Z 0.0074 0.0074 0.0075 0.0074
45 2016-04-02T00:00:00Z 0.0074 0.0075 0.0075 0.0074
46 2016-04-03T00:00:00Z 0.0075 0.0075 0.0075 0.0075
47 2016-04-04T00:00:00Z 0.0075 0.0075 0.0075 0.0075
48 2016-04-05T00:00:00Z 0.0075 0.0075 0.0075 0.0075
49 2016-04-06T00:00:00Z 0.0075 0.0073 0.0075 0.0073
50 2016-04-07T00:00:00Z 0.0073 0.0069 0.0073 0.0069
51 2016-04-08T00:00:00Z 0.0069 0.0067 0.0069 0.0067
52 2016-04-09T00:00:00Z 0.0067 0.0063 0.0067 0.0063
53 2016-04-10T00:00:00Z 0.0063 0.0059 0.0063 0.0059
54 2016-04-11T00:00:00Z 0.0059 0.006 0.0061 0.0059
55 2016-04-12T00:00:00Z 0.006 0.0059 0.0061 0.0059
56 2016-04-13T00:00:00Z 0.0059 0.0057 0.0059 0.0057
57 2016-04-14T00:00:00Z 0.0057 0.0063 0.0064 0.0057
58 2016-04-15T00:00:00Z 0.0063 0.0064 0.0065 0.0062
59 2016-04-16T00:00:00Z 0.0064 0.0065 0.0065 0.0063
60 2016-04-17T00:00:00Z 0.0065 0.0065 0.0066 0.0065
61 2016-04-18T00:00:00Z 0.0065 0.007 0.0072 0.0065
62 2016-04-19T00:00:00Z 0.007 0.0071 0.0072 0.007
63 2016-04-20T00:00:00Z 0.0071 0.0072 0.0073 0.007
64 2016-04-21T00:00:00Z 0.0073 0.0074 0.0075 0.0073
65 2016-04-22T00:00:00Z 0.0074 0.0073 0.0074 0.0073
66 2016-04-23T00:00:00Z 0.0073 0.0073 0.0074 0.0073
67 2016-04-24T00:00:00Z 0.0073 0.0073 0.0073 0.0072
68 2016-04-25T00:00:00Z 0.0073 0.0073 0.0073 0.0072
69 2016-04-26T00:00:00Z 0.0073 0.0071 0.0073 0.0071
70 2016-04-27T00:00:00Z 0.0071 0.0067 0.0071 0.0067
71 2016-04-28T00:00:00Z 0.0067 0.0067 0.0067 0.0067
72 2016-04-29T00:00:00Z 0.0067 0.0068 0.0068 0.0067
73 2016-04-30T00:00:00Z 0.0068 0.0068 0.0068 0.0068
74 2016-05-01T00:00:00Z 0.0068 0.0068 0.0068 0.0068
75 2016-05-02T00:00:00Z 0.0068 0.0067 0.0068 0.0067
76 2016-05-03T00:00:00Z 0.0067 0.0066 0.0067 0.0066
77 2016-05-04T00:00:00Z 0.0066 0.0063 0.0066 0.0063
78 2016-05-05T00:00:00Z 0.0063 0.0062 0.0063 0.0062
79 2016-05-06T00:00:00Z 0.0062 0.0064 0.0064 0.0062
80 2016-05-07T00:00:00Z 0.0064 0.0065 0.0065 0.0064
81 2016-05-08T00:00:00Z 0.0065 0.0064 0.0065 0.0064
82 2016-05-09T00:00:00Z 0.0064 0.0064 0.0064 0.0064
83 2016-05-10T00:00:00Z 0.0064 0.0063 0.0064 0.0063
84 2016-05-11T00:00:00Z 0.0063 0.0062 0.0063 0.0062
85 2016-05-12T00:00:00Z 0.0062 0.0062 0.0062 0.0062
86 2016-05-13T00:00:00Z 0.0062 0.0061 0.0062 0.0061
87 2016-05-14T00:00:00Z 0.0061 0.0061 0.0061 0.006
88 2016-05-15T00:00:00Z 0.0061 0.0061 0.0061 0.006
89 2016-05-16T00:00:00Z 0.0061 0.006 0.0061 0.006
90 2016-05-17T00:00:00Z 0.006 0.006 0.0061 0.006
91 2016-05-18T00:00:00Z 0.006 0.006 0.0061 0.006
92 2016-05-19T00:00:00Z 0.006 0.006 0.006 0.006
93 2016-05-20T00:00:00Z 0.006 0.0061 0.0061 0.006
94 2016-05-21T00:00:00Z 0.0061 0.006 0.0061 0.006
